account_name,account_id,after_school,max_capacity,facility_type,program_published,fees_type,advocacy_type,billing_street,billing_city,billing_zip,website,phone,AREATYPE,geometry
Enchanted Courtyard Childcare Development Center Inc.,0010Z00001w9aiZ,TRUE,92,Child Care Center,TRUE,Sliding Scale,For Profit,1400 E BELT LINE RD,CARROLLTON,75006,"",214-223-3973,In High Demand,2458343.50419347|7033521.95027092
Bright Minds Learning Center LLC,0010Z0000273xxk,TRUE,170,Child Care Center,TRUE,Sliding Scale,For Profit,2726 W ILLINOIS AVE,DALLAS,75233,"",214-330-0413,In High Demand,2471286.61837893|6948723.3901195
American Care Academy Pleasant Grove,0013r00002Hnz9y,TRUE,153,Child Care Center,TRUE,Fee,For Profit,1227 N MASTERS DR,DALLAS,75217,"",972-325-7983,In High Demand,2537615.64064447|6954367.01152658
Boys and Girls Clubs of Greater Dallas at Uplift Wisdom Preparatory,0013r00002DdN6w,TRUE,100,School,TRUE,Sliding Scale,National Nonprofit,301 W Camp Wisdom Rd,Dallas,75232,"",214-821-2950,In High Demand,2483678.96199249|6928045.04301994
Peari's Preparatory Academy,0013r00002NExtc,TRUE,90,Child Care Center,TRUE,Fee,For Profit,330 S R L THORNTON FWY,DALLAS,75203,"",214-944-5811,In High Demand,2488413.26865226|6961279.52504448
Kirbys Kreative Learning Center,001i000001YBHJl,TRUE,85,Child Care Center,TRUE,Sliding Scale,"",330 S R L THORNTON FWY,DALLAS,75203,"",(214) 943-7309,In High Demand,2488413.26865226|6961279.52504448
Creative Minds Child Care Center,001i000001YBHFJ,TRUE,56,Child Care Center,TRUE,Sliding Scale,For Profit,5606 S COCKRELL HILL RD,DALLAS,75236,"",(214) 330-2733,In High Demand,2463596.01813665|6933489.04187975
Dallas Park and Recreation at Lida Hooe ES,001i000000Na3Nx,TRUE,50,School,TRUE,No Charge,P&R,2419 Gladstone Dr.,Dallas,75211,"",(214) 282-0091,In High Demand,2473347.33205125|6956379.21782101
Little Steps Learning Center #2,001i000001YBHFS,TRUE,49,Child Care Center,TRUE,Sliding Scale,For Profit,7121 LAKE JUNE RD,DALLAS,75217,"",(214) 309-1500,In High Demand,2522092.44057826|6955080.35393532
Richardson ISD Xplore!-Audelia Creek Elementary,001i000001YBHIT,TRUE,45,School,TRUE,Sliding Scale,School Run,12600 AUDELIA RD,DALLAS,75243,risd.org/pace,(469) 593-7419,In High Demand,2515450.14794174|7021643.40026682
"Childrens Place Christian Learning Center, LLC",001i000001YBHIp,TRUE,39,Child Care Center,TRUE,Sliding Scale,For Profit,7717 GREENSPAN AVE,DALLAS,75232,"",(972) 293-4215,In High Demand,2482072.34742861|6925141.44561815
First Baptist Church Child Development,001i000001YBHJC,TRUE,256,Faith Community,TRUE,Sliding Scale,Local Nonprofit,801 W AVENUE D,GARLAND,75040,"",(972) 272-3221,In High Demand,2539003.09393311|7018859.8650691
KinderCare Learning Center at Northwest Hwy.,001i000001YBHT0,TRUE,127,Child Care Center,TRUE,Sliding Scale,For Profit,1321 NORTHWEST HWY,GARLAND,75041,"",(972) 278-9558,In High Demand,2537237.26039893|7002522.08576401
Eastside Child Development Center,0010Z00001a0Bt5,TRUE,58,Child Care Center,TRUE,Sliding Scale,For Profit,2000 S 1ST ST,GARLAND,75041,"","",In High Demand,2542300.21227717|7012887.31347974
Journey's Child Development Center,0010Z000029wiCf,TRUE,98,Child Care Center,TRUE,Sliding Scale,For Profit,1326 N STATE HIGHWAY 161,GRAND PRAIRIE,75050,"",214-293-9038,In High Demand,2421057.63567727|6961041.38449051
Morgans Private School & Day Care,001i000001YBHK9,TRUE,108,Child Care Center,TRUE,Sliding Scale,For Profit,2933 W PIONEER DR,IRVING,75061,"",(972) 790-4474,In High Demand,2433513.99504111|6987814.12361977
Pats Little Pecan Ranch,001i000001YBHKI,TRUE,30,Child Care Center,TRUE,Sliding Scale,For Profit,909 GROSS RD STE 420,MESQUITE,75149,"",(214) 289-0121,In High Demand,2546037.14851614|6971001.97333751
Little Scholars Academy-Richardson,0010Z00001vhPTP,TRUE,136,Child Care Center,TRUE,Sliding Scale,For Profit,1200 W Spring Valley Road,Richardson,75080,"",972-231-6998,In High Demand,2502885.35677666|7029549.24124211
RISD xPlore at Audelia Creek Elementary,0013r00002DdbZ8,TRUE,50,School,TRUE,Sliding Scale,School Run,"12600 Audelia Rd, Dallas TX",Rchardson,75243,"","",In High Demand,2515409.81414879|7021802.09795624
White Rock North School Inc,001i000001YBHKx,TRUE,325,School,TRUE,Sliding Scale,School Run,9711-9727 White Rock Trail,Dallas,75238,http://whiterocknorthschool.com/summer%20camp.html,(214) 348-7410,In High Supply,2511911.47906476|7007742.68214059
Akiba Academy Of Dallas,001i000001YBHFo,TRUE,291,School,TRUE,Sliding Scale,School Run,12324 MERIT DR,DALLAS,75251,"",(214) 295-3400,In High Supply,2499101.45993236|7020321.84014286
ST James Episcopal Montessori School,001i000001YBHKf,TRUE,197,School,TRUE,Sliding Scale,School Run,9845 MCCREE RD,DALLAS,75238,"",(214) 348-1349,In High Supply,2515821.62265156|7004746.93731179
Jewish Community Center of Dallas,001i000001YBHI4,TRUE,175,Community Center/Nonprofit,TRUE,Sliding Scale,Local Nonprofit,7900 Northaven Rd,Dallas,75230,http://www.jccdallas.org/,(214) 739-0225,In High Supply,2498483.17041133|7014714.44618258
YMCA @ Rogers Dallas,0013r00002bSMsL,TRUE,160,"",TRUE,"","",5314 ABRAMS RD,DALLAS,75214,"",469-348-9622,In High Supply,2505340.33316033|6997390.03089831
Springcreek Private School,001i000001YBHKd,TRUE,160,Child Care Center,TRUE,Sliding Scale,For Profit,14855 SPRING CREEK RD,DALLAS,75248,"",(972) 239-0096,In High Supply,2498402.44523866|7033788.03404519
KinderCare Learning Centers LLC,0013r00002Hnz9z,TRUE,150,Child Care Center,TRUE,Fee,For Profit,15610 SPRING CREEK RD,DALLAS,75248,"",972-404-9020,In High Supply,2498240.80829627|7037144.16634204
Lake Highlands Christian Child,001i000001YBHI0,TRUE,145,Child Care Center,TRUE,Sliding Scale,For Profit,9919 MCCREE RD,DALLAS,75238,"",(214) 348-1123,In High Supply,2516305.27468293|7004889.049934
After-School All-Stars at Thomas C. Marsh MS,0010Z00001uIGPU,TRUE,125,School,TRUE,No Charge,National Nonprofit,3838 Crown Shore Dr.,Dallas,75224,"",214.907.8594,In High Supply,2474787.59771903|7018465.16104752
Alcuin School,001i000001YBHGz,TRUE,123,School,TRUE,Sliding Scale,School Run,6144 Churchill Way,Dallas,75230,www.alcuinschool.org/page,(972) 239-1745,In High Supply,2490240.82147025|7020464.64299932
Alphabest @ CityScape-East Grand Preparatory,0010Z000028tUpt,TRUE,116,School,TRUE,Sliding Scale,For Profit,6211 E GRAND AVE,DALLAS,75223,"",972-668-0640,In High Supply,2508463.04156203|6977955.46762731
AlphaBest @ Geneva Heights-DISD,0010Z0000273xxi,TRUE,115,School,TRUE,Sliding Scale,For Profit,2911 DELMAR AVE,DALLAS,75206,"",972-668-0640,In High Supply,2500850.92686541|6987166.60803288
Saint Christopher Montessori,001i000001YBHHX,TRUE,115,School,TRUE,Sliding Scale,School Run,7900 LOVERS LN,DALLAS,75225,"",(214) 363-9391,In High Supply,2498994.18357182|6996801.10544554
Richardson ISD - Prestonwood Elementary,001i000001YBHG9,TRUE,110,School,TRUE,Sliding Scale,School Run,6525 LACOSA DR,DALLAS,75248,"",(469) 593-6739,In High Supply,2492061.86996451|7039578.16109911
Redeemers Child Care Center,001i000001YBHH8,TRUE,102,Child Care Center,TRUE,Sliding Scale,For Profit,8519 CRAIGHILL AVE,DALLAS,75209,"",(214) 357-3679,In High Supply,2476954.69241378|6998158.81428235
Richadson ISD - Merriman Park Elementary,0013100001lpW1G,TRUE,100,School,TRUE,Sliding Scale,School Run,7101 Winedale Dr.,Dallas,75231,www.risd.org/pace,469-593-2760,In High Supply,2508642.83902522|7007343.55264843
Richardson ISD Xplore! - Northlake Elementary,001i000001YBHKQ,TRUE,100,School,TRUE,Sliding Scale,School Run,10059 RAVENSWAY DR,DALLAS,75238,WWW.RISD.ORG/PACE,(469) 593-7419,In High Supply,2514724.32737929|7009652.07848874
"Services of Hope, LCC. Extended Day Program at East Grand Prepatory",0013100001bT4O2,TRUE,100,School,TRUE,Sliding Scale,Local Nonprofit,6211 East Grand Avenue.,Dallas,75223,www.servicesofhope.org,(214)276-0234,In High Supply,2508463.04156203|6977955.46762731
Moody Family Childcare & Youth Services Center,0010Z00002CZ9RT,TRUE,84,Child Care Center,TRUE,Fee,For Profit,1651 MATILDA ST,DALLAS,75206,"",214-827-7220,In High Supply,2500363.91505744|6982417.9162005
Dallas ISD DASA at T W BROWNE MIDDLE,0013r00002YvrDs,TRUE,75,School,TRUE,No Charge,School Run,3333 SPRAGUE DR,DALLAS,75233,"",(972)502-2500,In High Supply,2468233.03421235|6939893.5000157
Heavenly Learning Center,001i000001YBHJL,TRUE,72,Child Care Center,TRUE,Sliding Scale,For Profit,9625 PLANO RD STE 1700,DALLAS,75238,"",(214) 343-0216,In High Supply,2520751.27371917|7007209.53777415
