account_name,account_id,after_school,max_capacity,facility_type,program_published,fees_type,advocacy_type,billing_street,billing_city,billing_zip,website,phone,GEOID,indexSupply,indexDemand,MainGrp
Bent Tree Child Development Center,001i000001YBHGT,TRUE,391,Child Care Center,TRUE,Sliding Scale,For Profit,17275 ADDISON RD,ADDISON,75001,"",(972) 931-0868,48113013727,82,70,Demand = Supply
YMCA at George H.W. Bush ES,001i000000Na3Nk,TRUE,50,School,TRUE,Sliding Scale,National Nonprofit,3939 Spring Valley Rd.,Addison,75001,www.ymcadallas.org/afterschool,214-907-2759,48113013726,86,59,Demand < Supply
Foundation Communities at Shadow Brook Learning Center,0013100001lKfcF,TRUE,60,Apartment Complex,TRUE,No Charge,National Nonprofit,2020 S. Cooper St.,Arlington,76013,www.foundcom.org,(202)210-9791,,,,
Foundation Communities at Sleepy Hollow Learning Center,0013100001lJHrV,TRUE,23,Apartment Complex,TRUE,No Charge,National Nonprofit,2020 S Cooper,Arlington,76013,foundcom.org,201-850-0769,,,,
Sleepers to Sneakers Day Care,001i000001YBHKZ,TRUE,130,Child Care Center,TRUE,Sliding Scale,For Profit,11707 SEAGOVILLE RD,BALCH SPRINGS,75180,"",(972) 286-5933,48113017201,86,59,Demand < Supply
"Noahs Ark Learning Center, Inc",001i000001YBHGb,TRUE,128,Child Care Center,TRUE,Sliding Scale,For Profit,4030 PIONEER RD,BALCH SPRINGS,75180,"",(972) 557-4441,48113017315,93,59,Demand < Supply
Right At School at Mackey Elementary School,0013r00002DdbYv,TRUE,50,School,TRUE,Fee,For Profit,14900 North Spring Ridge Cir. Balch Springs,Balch Springs,75180,"","",48113017315,93,59,Demand < Supply
Neighborhood Project Ministry,001i000001SPaQy,TRUE,10,Child Care Center,TRUE,No Charge,For Profit,4000 Pioneer Road,Balch Springs,75180,www.neighborhoodproject.vpweb.com,469-386-5455,48113017315,93,59,Demand < Supply
Cov Kids Club,0010Z00002CZ9RR,TRUE,276,Child Care Center,TRUE,Fee,For Profit,2660 E TRINITY MILLS RD,CARROLLTON,75006,"",972-512-4408,48113013722,100,62,Demand < Supply
Xplor,001i000001YBHI6,TRUE,255,Child Care Center,TRUE,Sliding Scale,For Profit,2525 E TRINITY MILLS RD,CARROLLTON,75006,www.xplortoday.com,(972) 416-6471,48113013722,100,62,Demand < Supply
LMNOP  Childrens Academy,001i000001YBHFa,TRUE,200,Child Care Center,TRUE,Sliding Scale,For Profit,2808 TRINITY SQUARE DR,CARROLLTON,75006,"",(972) 417-5909,48113013722,100,62,Demand < Supply
Mona Montessori Academy,001i000001YBHFb,TRUE,184,School,TRUE,Sliding Scale,For Profit,1417 ISMAILI CENTER CIR,CARROLLTON,75006,"",(972) 245-1599,48113013719,86,67,Demand < Supply
The Learning Center,0013r00002bSMsK,TRUE,150,"",TRUE,"","",2644 E TRINITY MILLS RD,CARROLLTON,75006,"",972-512-4443,48113013722,100,62,Demand < Supply
After The Bell Good Summer Program,001i000001YBHHF,TRUE,150,Child Care Center,TRUE,Sliding Scale,For Profit,1012 STUDY LN,CARROLLTON,75006,"",(972) 968-6525,48113013716,95,61,Demand < Supply
Rising Starz Child Care Center,001i000001YBHHK,TRUE,150,Child Care Center,TRUE,Sliding Scale,For Profit,1200 E JACKSON RD,CARROLLTON,75006,"",(972) 466-3800,48113013716,95,61,Demand < Supply
The Happy Tree CDC,001i000001YBHGW,TRUE,130,Child Care Center,TRUE,Sliding Scale,For Profit,3225 BELMEADE DR,CARROLLTON,75006,"",(972) 733-1652,48113013722,100,62,Demand < Supply
Semihan Early Learning Academy,0013r00002dDOUb,TRUE,116,"",TRUE,"","",1615 W BELT LINE RD,CARROLLTON,75006,"",972-446-0178,48113014002,78,72,Demand = Supply
Enchanted Courtyard Childcare Development Center Inc.,0010Z00001w9aiZ,TRUE,92,Child Care Center,TRUE,Sliding Scale,For Profit,1400 E BELT LINE RD,CARROLLTON,75006,"",214-223-3973,48113013729,81,81,Demand > Supply
The Clifton School,0013100001oiYQh,TRUE,90,Child Care Center,TRUE,Sliding Scale,For Profit,2206 HEADS LN,Carrollton,75006,www.TheCliftonSchool.com,(972) 416-4000,48113013721,84,67,Demand = Supply
Foundation Communities at Peters Colony Learning Center,001i000000UedDH,TRUE,60,Apartment Complex,TRUE,No Charge,National Nonprofit,1810 E Peters Colony Dr,Carrollton,75007,"",(214)937-1823,,,,
