account_name,account_id,after_school,max_capacity,facility_type,program_published,fees_type,advocacy_type,billing_street,billing_city,billing_zip,website,phone
Bright Minds Learning Center LLC,0010Z0000273xxk,TRUE,170,Child Care Center,TRUE,Sliding Scale,For Profit,2726 W ILLINOIS AVE,DALLAS,75233,"",214-330-0413
American Care Academy Pleasant Grove,0013r00002Hnz9y,TRUE,153,Child Care Center,TRUE,Fee,For Profit,1227 N MASTERS DR,DALLAS,75217,"",972-325-7983
Boys and Girls Clubs of Greater Dallas at Uplift Wisdom Preparatory,0013r00002DdN6w,TRUE,100,School,TRUE,Sliding Scale,National Nonprofit,301 W Camp Wisdom Rd,Dallas,75232,"",214-821-2950
A Step Ahead,0013100001cF5G6,TRUE,79,Child Care Center,TRUE,Sliding Scale,For Profit,1050 N Westmoreland Rd. Ste. 308,Dallas,75211,"",(214) 467-4601
Dallas ISD DASA at MARTIN WEISS EL,0013r00002YvrDb,TRUE,75,School,TRUE,No Charge,School Run,8601 WILLOUGHBY BLVD,DALLAS,75232,"",(972)749-4000
Creative Minds Child Care Center,001i000001YBHFJ,TRUE,56,Child Care Center,TRUE,Sliding Scale,For Profit,5606 S COCKRELL HILL RD,DALLAS,75236,"",(214) 330-2733
Kuddles & Kisses Early Childhood Center LLC,001i000001YBHJm,TRUE,51,Child Care Center,TRUE,Sliding Scale,For Profit,4041 W WHEATLAND RD STE 128,DALLAS,75237,"",(972) 298-4012
The Parent Helper Daycare & Learning Center,0013r00002Hp49s,TRUE,50,Child Care Center,TRUE,Fee,For Profit,3939 S POLK ST STE 110,DALLAS,75224,"",214-272-3822
Dallas Park and Recreation at Lida Hooe ES,001i000000Na3Nx,TRUE,50,School,TRUE,No Charge,P&R,2419 Gladstone Dr.,Dallas,75211,"",(214) 282-0091
Little Steps Learning Center #2,001i000001YBHFS,TRUE,49,Child Care Center,TRUE,Sliding Scale,For Profit,7121 LAKE JUNE RD,DALLAS,75217,"",(214) 309-1500
Romekias Little Goodies Resource Learning Center,001i000001YBHKW,TRUE,48,Child Care Center,TRUE,Sliding Scale,For Profit,1236 N JIM MILLER RD,DALLAS,75217,"",(972) 982-2194
Richardson ISD - Aikin Elementary,001i000001YBHHM,TRUE,45,School,TRUE,Sliding Scale,School Run,12300 PLEASANT VALLEY DR,DALLAS,75243,RISD,(469) 593-7536
Richardson ISD Xplore!-Audelia Creek Elementary,001i000001YBHIT,TRUE,45,School,TRUE,Sliding Scale,School Run,12600 AUDELIA RD,DALLAS,75243,risd.org/pace,(469) 593-7419
"Childrens Place Christian Learning Center, LLC",001i000001YBHIp,TRUE,39,Child Care Center,TRUE,Sliding Scale,For Profit,7717 GREENSPAN AVE,DALLAS,75232,"",(972) 293-4215
Just Keep Livin' at Sunset High School,0013100001p7i0J,TRUE,30,School,TRUE,No Charge,National Nonprofit,2120 W. Jefferson Blvd.,Dallas,75208,https://www.jklivinfoundation.org/,214-306-8400 x114
Kids-U at Solaire Apartment Complex,0010Z000025hodR,TRUE,25,Apartment Complex,TRUE,No Charge,Local Nonprofit,4753 Duncanville Rd,Dallas,75236,kids-u.org,469-650-1643
KinderCare Learning Center at Northwest Hwy.,001i000001YBHT0,TRUE,127,Child Care Center,TRUE,Sliding Scale,For Profit,1321 NORTHWEST HWY,GARLAND,75041,"",(972) 278-9558
Journey's Child Development Center,0010Z000029wiCf,TRUE,98,Child Care Center,TRUE,Sliding Scale,For Profit,1326 N STATE HIGHWAY 161,GRAND PRAIRIE,75050,"",214-293-9038
Faruq Islamic Center,0010Z00001xShRo,TRUE,56,Faith Community,TRUE,Sliding Scale,"",2202B SAN ANTONIO ST,GRAND PRAIRIE,75051,"",""
Allisons Clubhouse,001i000001YBHIC,TRUE,262,Child Care Center,TRUE,Sliding Scale,For Profit,3425 FINLEY RD,IRVING,75062,"",(972) 258-1800
Morgans Private School & Day Care,001i000001YBHK9,TRUE,108,Child Care Center,TRUE,Sliding Scale,For Profit,2933 W PIONEER DR,IRVING,75061,"",(972) 790-4474
YMCA at Townsell ES,001i000000Na3O9,TRUE,50,School,TRUE,Sliding Scale,National Nonprofit,3700 Pleasant Run Rd.,Irving,75038,www.ymcadallas.org/afterschool,(214) 649-8703
Irving Family YMCA,0013100001mBPcD,TRUE,50,Community Center/Nonprofit,TRUE,Fee,National Nonprofit,2200 W. Irving Blvd.,Irving,75061,https://www.ymcadallas.org/locations/irving_family_ymca/,(972) 986-8898
Pats Little Pecan Ranch,001i000001YBHKI,TRUE,30,Child Care Center,TRUE,Sliding Scale,For Profit,909 GROSS RD STE 420,MESQUITE,75149,"",(214) 289-0121
Little Scholars Academy-Richardson,0010Z00001vhPTP,TRUE,136,Child Care Center,TRUE,Sliding Scale,For Profit,1200 W Spring Valley Road,Richardson,75080,"",972-231-6998
Richardson ISD- Richardson Heights,001i000001YBHIU,TRUE,45,School,TRUE,Sliding Scale,School Run,101 N FLOYD RD,RICHARDSON,75080,http://www.edline.net/pages/RISD_Departments_and_Programs/PACE,(469) 593-7536
RISD xPlore at Audelia Creek Elementary,0013r00002DdbZ8,TRUE,50,School,TRUE,Sliding Scale,School Run,"12600 Audelia Rd, Dallas TX",Rchardson,75243,"",""
RISD xPlore at Richardson Heights Elementary,0013r00002DdbZY,TRUE,50,School,TRUE,Sliding Scale,School Run,101 N FLOYD RD,Rchardson,75080,"",""
