account_name,account_id,after_school,max_capacity,facility_type,program_published,fees_type,advocacy_type,billing_street,billing_city,billing_zip,website,phone,top
A Missionary C.O.G.I.C.U.I. Learning Center,0013r00002bSMsF,TRUE,143,,TRUE,,,7460 S WESTMORELAND RD STE 105,DALLAS,75237,,214-758-0370,Both
After School Cafe at Oak Cliff Cultural Center,0013100001bT2Jj,TRUE,40,Community Center/Nonprofit,TRUE,No Charge,For Profit,223 W. Jefferson Blvd.,Dallas,75208,www.dallasculture.org/occc,(214)670-3777,Top 40 SMHH
Boys and Girls Club of East Dallas,0013100001bejbx,TRUE,150,Community Center/Nonprofit,TRUE,Sliding Scale,National Nonprofit,4804 Worth St.,Dallas,75246,www.bgca.org,(214) 828-2200,Top 40 CPR
Boys and Girls Clubs of Greater Dallas at Maple Lawn Elementary School,0013100001p7gvf,TRUE,50,School,TRUE,No Charge,National Nonprofit,3120 Inwood Road,Dallas,75235,https://bgcdallas.org/,214039608400 x114,Top 40 CPR
Care Center Community Center Basketball Program,0013100001ajiEA,TRUE,45,Municipal Building,TRUE,No Charge,P&R,7912 Antoinette St.,Dallas,75217,http://www.carecenterministries.org,(214) 824-9852,Both
Care Center Ministries Community Center After School Program,0013100001ajiBL,TRUE,100,Child Care Center,TRUE,No Charge,For Profit,7912 Antoinette St.,Dallas,75217,http://www.carecenterministries.org,(214) 824-9852,Both
Catholic Charities at Cardinal Farrell Community Center,001i000000zj9JO,TRUE,125,Community Center/Nonprofit,TRUE,No Charge,Local Nonprofit,321 Calumet Ave,Dallas,75211,www.catholiccharitiesdallas.charityfinders.org/SantaClaraRegionalCommunityCenter,214-337-0175,Top 40 CPR
Dallas ISD DASA at JILL STONE EL AT VICKERY MEADOW,0013r00002YvrDT,TRUE,75,School,TRUE,No Charge,School Run,6606 RIDGECREST RD,DALLAS,75231,,(972)502-7900,Top 40 CPR
Dallas Park and Recreation at Cowart ES,001i000000Na3Nr,TRUE,50,School,TRUE,No Charge,P&R,1515 S Ravinia Dr.,Dallas,75211,,(214) 282-0091,Top 40 CPR
Dallas Parks and Recreation at John Q. Adams ES,0013r00002TzakL,TRUE,50,School,TRUE,No Charge,P&R,8239 Lake June Rd.,Dallas,75217,,(972) 741-6937,Top 40 CPR
Eastside Child Development Center,0010Z00001a0Bt5,TRUE,58,Child Care Center,TRUE,Sliding Scale,For Profit,2000 S 1ST ST,GARLAND,75041,,,Top 40 CPR
Grand Prairie ISD Morton Beyond the Bell,0013100001mAvS0,TRUE,35,School,TRUE,Fee,School Run,401 E. Grand Prairie Rd.,Grand Prairie,75052,http://www.gpisd.org/domain/11845,972.237.5512,Top 40 CPR
Janie C. Turner Recreation Center,0013100001bdlZZ,TRUE,40,Municipal Building,TRUE,Fee,P&R,6424 Elam Rd.,Dallas,75217,www.dallasparks.org,(214) 670-8277,Both
Kids Country Childcare and Learning Center,001i000001YBHFy,TRUE,125,Child Care Center,TRUE,Sliding Scale,For Profit,9571 SKILLMAN ST,DALLAS,75243,,(214) 340-5687,Top 40 CPR
Kuddles & Kisses Early Childhood Center LLC,001i000001YBHJm,TRUE,51,Child Care Center,TRUE,Sliding Scale,For Profit,4041 W WHEATLAND RD STE 128,DALLAS,75237,,(972) 298-4012,Both
Lil Wiggys Christian Development Center-Gannon Ln,001i000001YBHJt,TRUE,32,Child Care Center,TRUE,Sliding Scale,For Profit,4333 GANNON LN STE 110,DALLAS,75237,,(972) 572-3500,Both
Little Einsteins Learning Center LLC,0010Z000026ffKv,TRUE,46,Child Care Center,TRUE,Sliding Scale,For Profit,9205 SKILLMAN ST STE 117,DALLAS,75243,,469-941-4644,Top 40 CPR
Martin Weiss Recreation Center,0013100001bT7nN,TRUE,25,Child Care Center,TRUE,Fee,For Profit,1111 Martindell Ave.,Dallas,75211,www.dallasparks.org,(214)670-1919,Top 40 CPR
Mary Rush Children's College At IBOC,001i000001YBHEe,TRUE,999,Child Care Center,TRUE,Sliding Scale,For Profit,7710 S WESTMORELAND RD,DALLAS,75237,,(972) 572-4262,Both
Mi Escuelita Preschool at Casa View,0010Z000023hh0f,TRUE,68,Community Center/Nonprofit,TRUE,Sliding Scale,Local Nonprofit,11540 FERGUSON RD,DALLAS,75228,,972-913-6462,Both
Nexus Child Development Center,001i000001YBHFp,TRUE,111,Child Care Center,TRUE,Sliding Scale,For Profit,8733 LA PRADA DR,DALLAS,75228,,(214) 321-0156,Both
Pennys Child Care & Learning Center,0013100001n8YN3,TRUE,56,Child Care Center,TRUE,Sliding Scale,For Profit,7440 S. Westmoreland Rd.,Dallas,75237,www.pennysdaycarecenter.com,(972) 707-7430,Both
Riding Rainbows Child Development Center,0010Z0000273xxp,TRUE,170,Child Care Center,TRUE,Sliding Scale,For Profit,7605 C F HAWN FWY,DALLAS,75217,,214-391-2259,Both
School of YES! Spring Residency,0013100001okUNy,TRUE,50,Community Center/Nonprofit,TRUE,No Charge,For Profit,223 W Jefferson Blvd,Dallas,75208,www.caramiatheatre.org,214-516-0706,Top 40 SMHH
St. Vincent de Paul StudyTime at Santa Clara of Assisi Catholic Academy,0013100001ajym0,TRUE,40,Faith Community,TRUE,No Charge,Local Nonprofit,321 Calumet,Dallas,75211,www.sdvpdallas.org,(214) 794-3036,Top 40 CPR
Stepping Stones Early CDC Inc at Lake June,001i000001YBHHt,TRUE,42,Child Care Center,TRUE,Sliding Scale,For Profit,8315 LAKE JUNE RD,DALLAS,75217,,(214) 309-1555,Top 40 CPR
Tiny 1's Treasured Learning Center,0010Z000023hh0h,TRUE,33,Child Care Center,TRUE,Sliding Scale,For Profit,3418 S BECKLEY AVE,DALLAS,75224,,214-434-1131,Both
Willis Early Learning Center,001i000001YBHKz,TRUE,68,Child Care Center,TRUE,Sliding Scale,For Profit,2600 BROADWAY BLVD,GARLAND,75041,,(469) 371-1780,Top 40 CPR
